CMDLINE C:\Users\SubhashSharma\anaconda3\python.exe 17.py
MEM 1.644531 1686229892.8646
MEM 10.488281 1686229892.9774
MEM 17.054688 1686229893.0874
MEM 22.238281 1686229893.1985
MEM 24.710938 1686229893.3104
MEM 29.167969 1686229893.4196
MEM 31.058594 1686229893.5315
MEM 32.484375 1686229893.6385
MEM 35.222656 1686229893.7435
MEM 37.589844 1686229893.8542
MEM 40.656250 1686229893.9642
MEM 42.351562 1686229894.0684
MEM 45.500000 1686229894.1815
MEM 50.480469 1686229894.2869
MEM 57.296875 1686229894.4007
MEM 61.406250 1686229894.5150
MEM 65.851562 1686229894.6283
MEM 69.734375 1686229894.7436
MEM 71.882812 1686229894.8451
MEM 75.093750 1686229894.9521
MEM 77.242188 1686229895.0619
MEM 77.691406 1686229895.1729
MEM 77.929688 1686229895.2852
MEM 77.929688 1686229895.3947
MEM 77.929688 1686229895.5060
MEM 77.929688 1686229895.6172
MEM 77.929688 1686229895.7283
MEM 77.929688 1686229895.8327
MEM 77.929688 1686229895.9431
MEM 77.929688 1686229896.0541
MEM 77.929688 1686229896.1641
MEM 77.929688 1686229896.2745
MEM 77.929688 1686229896.3865
MEM 77.929688 1686229896.4971
MEM 77.929688 1686229896.6081
MEM 77.929688 1686229896.7192
MEM 77.929688 1686229896.8321
MEM 77.929688 1686229896.9475
MEM 77.929688 1686229897.0600
MEM 77.929688 1686229897.1747
MEM 77.929688 1686229897.2757
MEM 77.929688 1686229897.3882
MEM 77.929688 1686229897.5008
MEM 77.929688 1686229897.6121
MEM 77.929688 1686229897.7248
MEM 77.929688 1686229897.8350
MEM 77.929688 1686229897.9418
MEM 77.929688 1686229898.0514
MEM 77.929688 1686229898.1612
MEM 77.929688 1686229898.2713
MEM 77.929688 1686229898.3810
MEM 77.929688 1686229898.4853
MEM 77.929688 1686229898.5977
MEM 77.929688 1686229898.7104
MEM 77.929688 1686229898.8228
MEM 77.929688 1686229898.9348
MEM 77.929688 1686229899.0372
MEM 77.929688 1686229899.1465
MEM 77.929688 1686229899.2582
MEM 77.929688 1686229899.3700
MEM 77.929688 1686229899.4742
MEM 77.929688 1686229899.5770
MEM 77.929688 1686229899.6902
MEM 77.929688 1686229899.8016
MEM 77.929688 1686229899.9147
MEM 77.929688 1686229900.0239
MEM 77.929688 1686229900.1312
MEM 77.929688 1686229900.2405
MEM 77.929688 1686229900.3511
MEM 77.929688 1686229900.4591
MEM 77.929688 1686229900.5720
MEM 77.929688 1686229900.6849
MEM 77.929688 1686229900.7964
MEM 77.929688 1686229900.9081
MEM 77.929688 1686229901.0197
MEM 77.929688 1686229901.1250
MEM 78.035156 1686229901.2368
